Valor, Tiempo
Tabu 1 100
15520, 142
15253, 68
14733, 70
14718, 64
14884, 72
15427, 63
14625, 62
15295, 71
14882, 63
15079, 64
21807, 136
23327, 173
23030, 148
22369, 138
23184, 154
22807, 136
22558, 137
23258, 137
21582, 134
22936, 137
46515, 403
44654, 394
46328, 398
46238, 402
46530, 451
45621, 401
45400, 424
46182, 398
45967, 404
46273, 401
Tabu 1 250
15543, 121
15276, 121
14755, 120
14716, 123
14874, 120
15435, 120
14652, 123
15298, 145
14908, 123
15107, 121
21811, 258
23321, 260
23051, 254
22398, 247
23210, 280
22826, 265
22563, 277
23305, 268
21604, 241
22940, 251
46514, 645
44701, 639
46305, 649
46289, 628
46528, 628
45654, 639
45469, 637
46180, 649
45989, 630
46287, 630
Tabu 1 600
15559, 248
15255, 258
14728, 249
14733, 253
14863, 275
15437, 255
14634, 253
15288, 256
14910, 253
15102, 267
21817, 540
23335, 528
23064, 521
22403, 524
23201, 517
22836, 519
22606, 522
23310, 531
21610, 523
22953, 522
46536, 1175
44723, 1175
46337, 1183
46279, 1196
46586, 1186
45665, 1192
45475, 1179
46205, 1180
46018, 1182
46287, 1187
Tabu 2 100
15537, 69
15257, 68
14756, 65
14716, 66
14875, 66
15423, 64
14659, 62
15280, 63
14900, 63
15048, 62
21765, 138
23297, 142
23019, 139
22386, 136
23185, 169
22763, 140
22583, 142
23279, 134
21560, 131
22948, 136
46496, 393
44611, 411
46305, 420
46212, 410
46507, 401
45615, 422
45426, 394
46178, 398
46003, 426
46265, 397
Tabu 2 250
15523, 118
15257, 126
14749, 120
14732, 121
14870, 121
15433, 122
14662, 120
15311, 122
14918, 118
15088, 119
21807, 247
23353, 258
23043, 254
22407, 247
23224, 259
22795, 262
22594, 251
23290, 250
21605, 240
22949, 252
46523, 648
44702, 622
46296, 631
46267, 623
46539, 633
45625, 642
45452, 657
46194, 637
45983, 632
46287, 630
Tabu 2 600
15533, 253
15258, 258
14752, 252
14745, 277
14883, 272
15442, 254
14648, 271
15292, 255
14906, 257
15094, 254
21833, 514
23350, 528
23041, 525
22417, 512
23237, 522
22835, 517
22603, 552
23297, 517
21618, 510
22975, 529
46544, 1392
44719, 1255
46355, 1432
46283, 1211
46562, 1179
45655, 1220
45494, 1192
46199, 1206
46007, 1185
46286, 1175
Tabu 5 100
15548, 62
15269, 64
14764, 61
14720, 78
14860, 68
15412, 64
14653, 63
15271, 67
14891, 64
15085, 70
21765, 133
23308, 144
23022, 132
22366, 130
23169, 131
22784, 130
22552, 131
23267, 133
21559, 129
22943, 151
46489, 432
44673, 382
46284, 426
46244, 380
46532, 389
45606, 385
45446, 388
46175, 401
45978, 398
46243, 386
Tabu 5 250
15527, 116
15255, 118
14736, 114
14732, 118
14884, 119
15424, 116
14641, 115
15279, 118
14917, 117
15094, 115
21792, 232
23351, 242
23025, 237
22430, 234
23201, 238
22838, 243
22594, 242
23302, 256
21592, 237
22962, 239
46535, 611
44680, 590
46318, 612
46269, 605
46548, 609
45655, 608
45482, 607
46181, 619
45999, 603
46274, 599
Tabu 5 600
15546, 240
15262, 245
14763, 268
14718, 245
14872, 245
15443, 241
14649, 241
15310, 247
14917, 241
15104, 241
21801, 475
23345, 488
23045, 493
22408, 508
23184, 529
22823, 494
22617, 513
23305, 505
21586, 485
22967, 496
46545, 1097
44720, 1082
46351, 1094
46287, 1084
46599, 1108
45657, 1105
45468, 1087
46178, 1121
46003, 1112
46308, 1117
Tabu 1 100
15614, 335
15323, 169
14819, 133
14794, 134
14948, 147
15494, 136
14714, 133
15354, 153
14968, 144
15156, 144
21886, 292
23415, 281
23125, 281
22487, 307
23296, 292
22900, 303
22669, 273
23377, 286
21673, 276
23029, 282
46604, 1334
44780, 993
46415, 1030
46357, 1047
46637, 996
45727, 949
45552, 975
46268, 959
46095, 986
46370, 1004
Tabu 1 250
15614, 187
15323, 169
14819, 171
14794, 169
14948, 168
15494, 196
14714, 173
15354, 174
14968, 174
15156, 180
21886, 343
23415, 339
23125, 336
22487, 370
23296, 346
22900, 347
22669, 352
23377, 358
21673, 370
23029, 343
46604, 1140
44780, 1208
46415, 1128
46357, 1128
46637, 1131
45727, 1192
45552, 1157
46268, 1109
46095, 1101
46370, 1141
Tabu 1 600
15614, 285
15323, 263
14819, 263
14794, 264
14948, 276
15494, 278
14714, 276
15354, 272
14968, 269
15156, 268
21886, 528
23415, 537
23125, 514
22487, 538
23296, 522
22900, 541
22669, 538
23377, 538
21673, 543
23029, 541
46604, 1491
44780, 1506
46415, 1443
46357, 1489
46637, 1474
45727, 1429
45552, 1493
46268, 1509
46095, 1477
46370, 1514
Tabu 2 100
15614, 138
15323, 130
14819, 132
14794, 128
14948, 129
15494, 138
14714, 130
15354, 134
14968, 133
15156, 135
21886, 268
23415, 262
23125, 267
22487, 270
23296, 288
22900, 272
22669, 265
23377, 273
21673, 278
23029, 274
46604, 1182
44780, 978
46415, 992
46357, 993
46637, 983
45727, 977
45552, 977
46268, 970
46095, 989
46370, 994
Tabu 2 250
15614, 178
15323, 173
14819, 169
14794, 168
14948, 168
15494, 174
14714, 170
15354, 171
14968, 171
15156, 175
21886, 339
23415, 331
23125, 336
22487, 340
23296, 353
22900, 354
22669, 341
23377, 349
21673, 344
23029, 353
46604, 1149
44780, 1187
46415, 1130
46357, 1178
46637, 1178
45727, 1126
45552, 1147
46268, 1134
46095, 1098
46370, 1099
Tabu 2 600
15614, 274
15323, 265
14819, 262
14794, 260
14948, 258
15494, 273
14714, 264
15354, 260
14968, 266
15156, 268
21886, 517
23415, 516
23125, 512
22487, 517
23296, 526
22900, 522
22669, 521
23377, 529
21673, 549
23029, 518
46604, 1489
44780, 1480
46415, 1467
46357, 1485
46637, 1471
45727, 1441
45552, 1542
46268, 1487
46095, 1453
46370, 1481
Tabu 5 100
15614, 136
15323, 135
14819, 134
14794, 131
14948, 128
15494, 134
14714, 129
15354, 134
14968, 135
15156, 133
21886, 271
23415, 256
23125, 288
22487, 264
23296, 281
22900, 267
22669, 270
23377, 267
21673, 267
23029, 268
46604, 965
44780, 988
46415, 1324
46357, 1006
46637, 958
45727, 972
45552, 1007
46268, 955
46095, 973
46370, 981
Tabu 5 250
15614, 181
15323, 171
14819, 170
14794, 169
14948, 167
15494, 174
14714, 173
15354, 171
14968, 170
15156, 174
21886, 349
23415, 332
23125, 339
22487, 343
23296, 345
22900, 344
22669, 340
23377, 348
21673, 354
23029, 345
46604, 1178
44780, 1100
46415, 1137
46357, 1148
46637, 1165
45727, 1095
45552, 1137
46268, 1125
46095, 1108
46370, 1128
Tabu 5 600
15614, 272
15323, 261
14819, 260
14794, 261
14948, 261
15494, 264
14714, 267
15354, 262
14968, 280
15156, 265
21886, 518
23415, 510
23125, 515
22487, 520
23296, 519
22900, 521
22669, 517
23377, 538
21673, 526
23029, 526
46604, 1479
44780, 1466
46415, 1470
46357, 1523
46637, 1507
45727, 1454
45552, 1478
46268, 1479
46095, 1442
46370, 1504
